date,quantity
2022-01,81.5
2022-02,84.9
2022-03,113.7
2022-04,143.8
2022-05,130.5
2022-06,136.5
2022-07,161.7
2022-08,140.5
2022-09,109.0
2022-10,111.1
2022-11,87.1
2022-12,85.0
2023-01,101.6
2023-02,82.3
2023-03,102.1
2023-04,136.6
2023-05,142.8
2023-06,168.7
2023-07,148.4
2023-08,131.8
2023-09,162.0
2023-10,123.6
2023-11,119.0
2023-12,94.6
2024-01,113.9
2024-02,136.7
2024-03,134.7
2024-04,174.6
2024-05,173.0
2024-06,183.6
2024-07,177.0
2024-08,204.8
2024-09,163.8
2024-10,135.1
2024-11,154.4
2024-12,121.7
